"2012-10-03 19:46:17", "EC2:use1", "i-1f463079", "STOPPED", "t1.micro", "292.06", "5.86", "gheller"
"2012-11-05 13:01:27", "EC2:use1", "i-3673a54f", "STOPPED", "m1.medium", "3360.55", "537.76", "dtcollector-testplugin02"
"2012-11-05 13:01:51", "EC2:use1", "i-347dab4d", "STOPPED", "m1.medium", "3360.38", "537.76", "dtcollector-prodplugin02"
"2012-06-25 12:25:12", "EC2:use1", "i-7e41fa07", "STOPPED", "t1.micro", "71.24", "1.44", "StopStarter-01"
"2012-06-25 12:25:13", "EC2:use1", "i-7e41fa07", "TERMINATED", "t1.micro", "-", "-", "StopStarter-01"
"2012-12-10 14:59:14", "EC2:use1", "i-f06afc89", "CHANGED", "t1.micro", "-", "-", "TestAppServer - TestAppServer -> TestAppServer2"
"2012-12-10 14:59:14", "EC2:use1", "i-f06afc89", "CHANGED", "t1.micro", "-", "-", "TestAppServer - ADDED -> REMOVED"
"2012-12-10 14:59:14", "EC2:use1", "i-f06afc89", "CHANGED", "t1.micro", "-", "-", "TestAppServer - ADDED -> REMOVED"
"2012-06-14 17:45:17", "EC2:use1", "i-f06afc89", "CREATED", "t1.micro", "-", "-", "TestAppServer2"
"2012-06-14 17:45:18", "EC2:use1", "i-f06afc89", "STARTED", "t1.micro", "-", "-", "TestAppServer2"
"2012-06-14 17:52:54", "EC2:use1", "i-f06afc89", "STOPPED", "t1.micro", "0.13", "0.02", "TestAppServer2"
"2012-08-24 18:41:31", "EC2:use1", "i-4473f73c", "CREATED", "c1.medium", "-", "-", "MCS App Server"
"2012-08-24 18:41:32", "EC2:use1", "i-4473f73c", "STARTED", "c1.medium", "-", "-", "MCS App Server"
"2012-08-24 18:44:49", "EC2:use1", "i-4473f73c", "STOPPED", "c1.medium", "0.05", "0.17", "MCS App Server"
"2012-07-10 19:30:29", "EC2:use1", "i-668f081e", "CREATED", "m1.medium", "-", "-", "MCS SQL Server"
"2012-07-10 19:30:30", "EC2:use1", "i-668f081e", "STARTED", "m1.medium", "-", "-", "MCS SQL Server"
"2012-07-12 14:29:23", "EC2:use1", "i-668f081e", "STOPPED", "m1.medium", "42.98", "6.88", "MCS SQL Server"
"2012-08-08 16:58:14", "EC2:use1", "i-bef37dc6", "CREATED", "m1.large", "-", "-", "MCS App Server 1"
"2012-08-08 16:58:15", "EC2:use1", "i-bef37dc6", "STARTED", "m1.large", "-", "-", "MCS App Server 1"
"2012-08-08 17:01:58", "EC2:use1", "i-bef37dc6", "STOPPED", "m1.large", "0.06", "0.32", "MCS App Server 1"
"2012-10-08 16:33:29", "EC2:use1", "i-82562aff", "CREATED", "m1.medium", "-", "-", "pe.ec2-els.com"
"2012-10-08 16:33:30", "EC2:use1", "i-82562aff", "STARTED", "m1.medium", "-", "-", "pe.ec2-els.com"
